A cake was cooked by the scientist .	cook ( theme = cake , agent = * scientist )	in_distribution
A cake was eaten by a boy .	eat ( theme = cake , agent = boy )	in_distribution
A fly ran .	run ( agent = fly )	in_distribution
A hen gave the flower beside a chair to Liam .	give ( agent = hen , theme = * flower ( nmod . beside = chair ) , recipient = Liam )	in_distribution
A mouse was given a cake on the table by Liam .	give ( recipient = mouse , theme = cake ( nmod . on = * table ) , agent = Liam )	in_distribution
The boy liked that a donut was admired by Olivia .	like ( agent = * boy , ccomp = admire ( theme = donut , agent = Olivia ) )	in_distribution
The pickle was shortened .	shorten ( theme = * pickle )	in_distribution
Isabella forwarded a box on a tree to Emma .	forward ( agent = Isabella , theme = box ( nmod . on = tree ) , recipient = Emma )	in_distribution
A boy painted a child .	paint ( agent = boy , theme = child )	in_distribution
The cake was decomposed .	decompose ( theme = * cake )	in_distribution
A boy was wired a drink by Isabella .	wire ( recipient = boy , theme = drink , agent = Isabella )	in_distribution
A jar was stabbed by the girl .	stab ( theme = jar , agent = * girl )	in_distribution
A scarf was fed to Olivia by a girl .	feed ( theme = scarf , recipient = Olivia , agent = girl )	in_distribution
The box was liked by the prince .	like ( theme = * box , agent = * prince )	in_distribution
A rose was liked by Stella .	like ( theme = rose , agent = Stella )	in_distribution
A bottle was rolled by Olivia .	roll ( theme = bottle , agent = Olivia )	in_distribution
The boy noticed that a rose was frozen by Emma .	notice ( agent = * boy , ccomp = freeze ( theme = rose , agent = Emma ) )	in_distribution
Olivia was fed the box beside the table by Emma .	feed ( recipient = Olivia , theme = * box ( nmod . beside = * table ) , agent = Emma )	in_distribution
Amelia drew Logan .	draw ( agent = Amelia , theme = Logan )	in_distribution
A girl lent the boy the cake .	lend ( agent = girl , recipient = * boy , theme = * cake )	in_distribution
Penelope giggled .	giggle ( agent = Penelope )	in_distribution
Emma liked that a game was lent to the girl .	like ( agent = Emma , ccomp = lend ( theme = game , recipient = * girl ) )	in_distribution
Emma served a pen to a girl .	serve ( agent = Emma , theme = pen , recipient = girl )	in_distribution
A squirrel valued a cookie on a seat .	value ( agent = squirrel , theme = cookie ( nmod . on = seat ) )	in_distribution
Emma liked that Hazel laughed .	like ( agent = Emma , ccomp = laugh ( agent = Hazel ) )	in_distribution
The cat floated a frog .	float ( agent = * cat , theme = frog )	in_distribution
The donut was called .	call ( theme = * donut )	in_distribution
Riley sneezed .	sneeze ( agent = Riley )	in_distribution
The girl froze a cake on the tree .	freeze ( agent = * girl , theme = cake ( nmod . on = * tree ) )	in_distribution
The donut was liked by Sophia .	like ( theme = * donut , agent = Sophia )	in_distribution
Emma drew a boy .	draw ( agent = Emma , theme = boy )	in_distribution
A girl offered a rose to Isabella .	offer ( agent = girl , theme = rose , recipient = Isabella )	in_distribution
The cake was awarded to the puppy by Aiden .	award ( theme = * cake , recipient = * puppy , agent = Aiden )	in_distribution
Emma was brought the donut by Mila .	bring ( recipient = Emma , theme = * donut , agent = Mila )	in_distribution
A boy thought that Olivia lent the ball to Emma .	think ( agent = boy , ccomp = lend ( agent = Olivia , theme = * ball , recipient = Emma ) )	in_distribution
A yogurt was served to a host by Liam .	serve ( theme = yogurt , recipient = host , agent = Liam )	in_distribution
Sophia gave a cake to a lawyer .	give ( agent = Sophia , theme = cake , recipient = lawyer )	in_distribution
The box was respected .	respect ( theme = * box )	in_distribution
Oliver poked the donut .	poke ( agent = Oliver , theme = * donut )	in_distribution
Liam hoped that the dog preferred to run .	hope ( agent = Liam , ccomp = prefer ( agent = * dog , xcomp = run ( agent = * dog ) ) )	in_distribution
A drink was poked by Liam .	poke ( theme = drink , agent = Liam )	in_distribution
The cake was handed to the child .	hand ( theme = * cake , recipient = * child )	in_distribution
A boy helped the ball on a table .	help ( agent = boy , theme = * ball ( nmod . on = table ) )	in_distribution
The doll was appreciated .	appreciate ( theme = * doll )	in_distribution
Olivia burned Benjamin .	burn ( agent = Olivia , theme = Benjamin )	in_distribution
The cake was given to Sebastian .	give ( theme = * cake , recipient = Sebastian )	in_distribution
A lamb helped Emma .	help ( agent = lamb , theme = Emma )	in_distribution
The pen was helped .	help ( theme = * pen )	in_distribution
A girl sold Sophia a cake beside the bed .	sell ( agent = girl , recipient = Sophia , theme = cake ( nmod . beside = * bed ) )	in_distribution
The cake was given to a penguin by a boy .	give ( theme = * cake , recipient = penguin , agent = boy )	in_distribution
The girl helped the banana .	help ( agent = * girl , theme = * banana )	in_distribution
A cake was frozen by Mia .	freeze ( theme = cake , agent = Mia )	in_distribution
The ball rolled .	roll ( theme = * ball )	in_distribution
